TopDepth,BottomDepth,HorizonDepth,ksat_r,dbthirdbar_r,dbfifteenbar_r,COKEY,CHKEY
0,25,,4.0,1.33,,2970166,7948878
25,132,,1.41,1.45,,2970166,8032195
132,157,,14.11,1.55,,2970166,8115512
0,84,,14.11,1.45,,2970167,8032198
84,163,,14.11,1.53,,2970167,8115515
56,109,,14.11,1.65,,2970168,7948885
109,152,,42.34,1.9,,2970168,8032202
0,56,,14.11,1.65,,2970168,8198834
58,84,,,,,2970169,7948889
0,20,,4.0,1.35,,2970169,8032205
20,33,,1.41,1.3,,2970169,8115522
33,58,,0.42,1.3,,2970169,8198838
61,97,,,,,2970170,7948893
0,25,,4.0,1.55,,2970170,8032209
97,152,,14.11,1.68,,2970170,8032210
25,33,,1.41,1.5,,2970170,8115526
33,61,,4.0,1.55,,2970170,8198842
0,13,,4.0,1.43,,2970171,7948895
13,76,,4.0,1.55,,2970171,8032212
76,86,,,,,2970171,8115529
58,86,,4.0,1.38,,2970172,8115532
86,94,,,,,2970172,8198848
0,18,,4.0,1.25,,2970172,7948898
94,152,,42.34,1.45,,2970172,7948899
18,58,,4.0,1.3,,2970172,8032215
13,76,,4.0,1.6,,2970173,7948901
76,86,,,,,2970173,8032218
0,13,,4.0,1.55,,2970173,8198850
18,58,,4.0,1.3,,2970174,7948904
58,86,,4.0,1.38,,2970174,8032221
86,94,,,,,2970174,8115538
0,18,,4.0,1.25,,2970174,8198853
94,152,,42.34,1.45,,2970174,8198854
86,152,,14.11,1.55,,2970175,7948908
0,8,,14.11,1.65,,2970175,8032224
8,64,,14.11,1.65,,2970175,8115541
64,86,,,,,2970175,8198857
56,107,,14.11,1.6,,2970176,8198860
107,152,,14.11,1.65,,2970176,7948911
0,10,,14.11,1.65,,2970176,8032227
10,56,,14.11,1.65,,2970176,8115544
64,84,,4.0,1.55,,2970177,7948914
84,91,,,,,2970177,8032231
0,15,,4.0,1.4,,2970177,8115547
91,152,,14.11,1.65,,2970177,8115548
15,64,,1.41,1.45,,2970177,8198863
0,25,,1.41,1.33,,2970179,8032236
25,76,,0.42,1.25,,2970179,8115553
76,142,,0.42,1.38,,2970179,8198869
142,152,,0.42,1.3,,2970179,7948920
10,97,,0.0,1.38,,2970180,7948922
97,152,,0.0,1.38,,2970180,8032239
0,10,,0.0,1.13,,2970180,8198871
25,66,,0.42,1.53,,2970181,7948925
66,152,,4.0,1.6,,2970181,8032242
