ComponentPercent,MajorComponent,MUKEY,COKEY
1,Yes,661723,3008937
1,Yes,661723,2970077
3,Yes,661723,3047796
6,Yes,661724,3060750
64,Yes,661724,3034844
4,Yes,661724,3015414
3,Yes,661724,2989507
13,Yes,661724,2995984
7,Yes,661724,2976554
3,Yes,661724,3021891
45,Yes,661725,3002461
4,Yes,661725,3067227
6,Yes,661725,3028368
11,Yes,661725,3041321
5,Yes,661725,3008938
2,Yes,661725,2970078
14,Yes,661725,2983031
13,Yes,661725,3047797
22,Yes,661726,3054274
8,Yes,661726,3060751
10,Yes,661726,2989508
18,Yes,661726,2976555
8,Yes,661726,3015415
7,Yes,661726,2995985
21,Yes,661726,3034845
2,Yes,661726,3002462
4,Yes,661726,3021892
65,Yes,661727,2983032
12,Yes,661727,3047798
2,Yes,661727,3054275
3,Yes,661727,3008939
3,Yes,661727,3067228
3,Yes,661727,2970079
6,Yes,661727,3041322
4,Yes,661727,3028369
2,Yes,661727,3034846
5,Yes,661728,2995989
3,Yes,661728,2976559
2,Yes,661728,3060755
47,Yes,661728,3054278
1,Yes,661728,3021896
2,Yes,661728,3015419
5,Yes,661728,2989512
35,Yes,661728,3034849
26,Yes,661729,3041326
6,Yes,661729,3028373
6,Yes,661729,3008943
13,Yes,661729,2983036
25,Yes,661729,3047802
3,Yes,661729,3067232
1,Yes,661729,2970083
20,Yes,661729,3002466
26,Yes,661730,3054279
31,Yes,661730,2989513
4,Yes,661730,3015420
4,Yes,661730,3002467
4,Yes,661730,3021897
6,Yes,661730,3034850
9,Yes,661730,2976560
5,Yes,661730,3060756
11,Yes,661730,2995990
2,Yes,661731,3034852
21,Yes,661731,2983038
3,Yes,661731,2970085
3,Yes,661731,3054281
5,Yes,661731,3067234
29,Yes,661731,3047804
14,Yes,661731,3028375
7,Yes,661731,3008945
16,Yes,661731,3041328
18,Yes,661732,2989515
6,Yes,661732,3060758
15,Yes,661732,2976562
34,Yes,661732,2995992
3,Yes,661732,3002469
21,Yes,661732,3015422
3,Yes,661732,3021899
1,Yes,661733,3054282
28,Yes,661733,3047805
4,Yes,661733,3008946
28,Yes,661733,3041329
5,Yes,661733,3028376
3,Yes,661733,3067235
1,Yes,661733,2970086
30,Yes,661733,2983039
7,Yes,661734,3034854
12,Yes,661734,3047806
18,Yes,661734,2983040
4,Yes,661734,3041330
12,Yes,661734,3008947
6,Yes,661734,2995994
4,Yes,661734,2976564
7,Yes,661734,3028377
11,Yes,661734,3067236
9,Yes,661734,3054283
10,Yes,661734,2970087
13,No ,661735,3067449
11,No ,661735,2970300
11,No ,661735,3054496
16,No ,661735,3048019
14,No ,661735,3009160
11,No ,661735,3028590
24,No ,661735,3041543
4,Yes,661736,2976565
28,Yes,661736,3008948
9,Yes,661736,3034855
8,Yes,661736,2989518
5,Yes,661736,3067237
27,Yes,661736,2970088
15,Yes,661736,3054284
4,Yes,661736,2995995
28,Yes,661737,3060761
1,Yes,661737,3028379
16,Yes,661737,3002472
18,Yes,661737,3021902
3,Yes,661737,3041332
6,Yes,661737,2983042
27,Yes,661737,3015425
1,Yes,661737,3047808
5,Yes,661738,3021903
7,Yes,661738,3054285
11,Yes,661738,3067238
6,Yes,661738,2989519
11,Yes,661738,2970089
7,Yes,661738,2995996
3,Yes,661738,3002473
5,Yes,661738,3015426
3,Yes,661738,2983043
15,Yes,661738,3034856
7,Yes,661738,2976566
17,Yes,661738,3008949
