"Silty clay loam"||"57202924"|"58214138"
"Loam"||"57202926"|"58214140"
"Silty clay loam"||"57202931"|"58214761"
"Silty clay loam"||"57202933"|"58214982"
"Sandy loam"||"57202940"|"58214468"
"Silty clay loam"||"57202942"|"58213969"
"Sandy loam"||"57202949"|"58214306"
"Loam"||"57202951"|"58214307"
|"Unweathered bedrock"|"57202956"|"58214144"
"Sandy loam"||"57202958"|"58213971"
|"Unweathered bedrock"|"57202965"|"58214472"
"Fine sandy loam"||"57202967"|"58214310"
"Clay loam"||"57202974"|"58214677"
"Loam"||"57202976"|"58214147"
"Silt loam"||"57202981"|"58213976"
"Loam"||"57202983"|"58213978"
"Clay loam"||"57202990"|"58214476"
"Silt loam"||"57202992"|"58213977"
"Clay loam"||"57202999"|"58213980"
"Sandy loam"||"57203001"|"58214477"
"Clay"||"57203006"|"58213981"
"Clay loam"||"57203008"|"58213982"
"Loamy sand"||"57203015"|"58213983"
"Loam"||"57203017"|"58213984"
"Clay loam"||"57203024"|"58213986"
"Clay"||"57203026"|"58214157"
"Silty clay"||"57203031"|"58213987"
"Loam"||"57203033"|"58214328"
"Clay loam"||"57203040"|"58214327"
"Clay"||"57203042"|"58214485"
"Loam"||"57203049"|"58214790"
"Clay"||"57203051"|"58214791"
"Clay loam"||"57203056"|"58214886"
"Clay loam"||"57203058"|"58214682"
"Loam"||"57203065"|"58214330"
"Clay"||"57203067"|"58214331"
"Clay"||"57203074"|"58213995"
"Clay loam"||"57203076"|"58213996"
"Clay"||"57203081"|"58213993"
"Sandy clay loam"||"57203083"|"58213994"
"Clay loam"||"57203090"|"58214169"
"Sandy loam"||"57203092"|"58214171"
"Loam"||"57203099"|"58214497"
"Sandy clay loam"||"57203101"|"58214499"
"Clay loam"||"57203106"|"58214000"
"Clay loam"||"57203108"|"58214001"
"Silty clay"||"57203115"|"58214500"
"Clay loam"||"57203117"|"58214174"
"Silt loam"||"57203124"|"58214343"
"Silty clay loam"||"57203126"|"58214177"
"Silty clay loam"||"57203131"|"58214634"
"Silty clay loam"||"57203133"|"58214577"
"Silty clay loam"||"57203135"|"58214876"
"Silty clay loam"||"57203140"|"58214879"
"Silty clay loam"||"57203142"|"58214881"
"Silt loam"||"57203149"|"58214679"
"Silt loam"||"57203151"|"58214681"
"Loam"||"57203156"|"58214939"
"Sandy loam"||"57203158"|"58214181"
"Very fine sandy loam"||"57203160"|"58214345"
"Loam"||"57203165"|"58214506"
"Very fine sandy loam"||"57203167"|"58214347"
"Sandy loam"||"57203174"|"58214185"
"Loam"||"57203176"|"58214349"
"Loam"||"57203181"|"58214509"
"Loam"||"57203183"|"58214511"
"Very fine sandy loam"||"57203185"|"58214351"
"Silty clay loam"||"57203190"|"58214693"
